id,name,normalized_name,gender,gender_is_inferred
1,Children,children,unknown,True
2,Mechanical Santa,mechanical santa,unknown,True
3,Tattoo Man,tattoo man,unknown,True
4,DOCTOR ZITSOFSKY,doctor zitsofsky,unknown,True
5,Students,students,unknown,True
6,Little Boy,little boy,unknown,True
7,Lewis Clark,lewis clark,unknown,True
8,Little Girl,little girl,unknown,True
9,Bubbles,bubbles,unknown,True
10,Moldy,moldy,unknown,True
11,Ticket Seller,ticket seller,unknown,True
12,Elf #1,elf 1,unknown,True
13,Elves,elves,unknown,True
14,Dog's Owner,dogs owner,unknown,True
15,Kids,kids,unknown,True
16,Conductor,conductor,unknown,True
17,Secretary,secretary,unknown,True
18,Sydney,sydney,unknown,True
19,Cecile Shapiro,cecile shapiro,unknown,True
20,Ian,ian,unknown,True
21,Calvin,calvin,unknown,True
22,"Martin Prince, Sr.",martin prince sr,unknown,True
23,Richard,richard,unknown,True
24,Wendell Borton,wendell borton,unknown,True
25,Smilin' Joe Fission,smilin joe fission,unknown,True
26,Rod #1,rod 1,unknown,True
27,Rod #2,rod 2,unknown,True
28,RODS,rods,unknown,True
29,Workman #1,workman 1,unknown,True
30,Foreman,foreman,unknown,True
31,TERRI & SHERRI,terri sherri,unknown,True
32,PUNK TEENAGER,punk teenager,unknown,True
33,Tv Announcer #1,tv announcer 1,unknown,True
34,Tv Announcer #2,tv announcer 2,unknown,True
35,Jingle Chorus,jingle chorus,unknown,True
36,Sylvia Winfield,sylvia winfield,unknown,True
37,Old Man Winfield,old man winfield,unknown,True
38,Councilman #1,councilman 1,unknown,True
39,Councilman #2,councilman 2,unknown,True
40,COUNCILMEN #1/#2,councilmen 12,unknown,True
41,Demonstrator #1,demonstrator 1,unknown,True
42,Crowd,crowd,unknown,True
43,MR. GAMMILL,mr gammill,unknown,True
44,TOM,tom,unknown,True
45,Mrs. Long,mrs long,unknown,True
46,Wife #1,wife 1,unknown,True
47,Wife #2,wife 2,unknown,True
48,Other Women,other women,unknown,True
49,Nice Father,nice father,unknown,True
50,Nice Boy,nice boy,unknown,True
51,NICE GIRL,nice girl,unknown,True
52,Nice Mother,nice mother,unknown,True
53,NICE FAMILY,nice family,unknown,True
54,Williams Boy,williams boy,unknown,True
55,Mr. Williams,mr williams,unknown,True
56,BOXING ANNOUNCER,boxing announcer,unknown,True
57,TV-STATION ANNOUNCER,tv-station announcer,unknown,True
58,Tv Wife,tv wife,unknown,True
59,Tv Husband,tv husband,unknown,True
60,Small Boy,small boy,unknown,True
61,Pawn Broker,pawn broker,unknown,True
62,Homer-ish Husband,homer-ish husband,unknown,True
63,Weasel #1,weasel 1,unknown,True
64,ALL AT THE TABLE,all at the table,unknown,True
65,Kid,kid,unknown,True
66,Weasel #2,weasel 2,unknown,True
67,Maggie Simpson,maggie simpson,unknown,True
68,Homer's Image,homers image,unknown,True
69,Elderly Gentleman,elderly gentleman,unknown,True
70,All,all,unknown,True
71,Marge Simpson,marge simpson,female,False
72,Bart Simpson,bart simpson,male,False
73,Lisa Simpson,lisa simpson,female,False
74,Moe Szyslak,moe szyslak,male,False
75,Seymour Skinner,seymour skinner,male,False
76,Ned Flanders,ned flanders,male,False
77,Grampa Simpson,grampa simpson,male,False
78,Chief Wiggum,chief wiggum,male,False
79,Milhouse Van Houten,milhouse van houten,male,False
80,Waylon Smithers,waylon smithers,male,False
81,Nelson Muntz,nelson muntz,male,False
82,Edna Krabappel-Flanders,edna krabappel-flanders,female,False
83,Announcer,announcer,male,False
84,Selma Bouvier,selma bouvier,female,False
85,Barney Gumble,barney gumble,male,False
86,Patty Bouvier,patty bouvier,female,False
